--------- beginning of main
06-01 10:09:50.062 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.097 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.132 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.171 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.206 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.241 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.279 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.317 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.352 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.388 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.423 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.463 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.499 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.534 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.571 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.608 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.642 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.678 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.718 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.753 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.788 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.824 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.860 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.895 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.931 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:50.965 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.000 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.036 V/GeospatialService( 5183): Camera 상태: PAUSED
